"country","averageIqByCountry_iqLynnBecker2019","averageIqByCountry_sourceLynnBecker2019","AverageIQ_ICI2017Grade","AverageIQ_ICI2017Score","OverallPisaScore2022","PISAScoresMathScore2022","PISAScoresScienceScore2022","PISAScoresReadingScore2022"
"China",104.1,"T","B",47.3,1605,552,543,510
"United States",97.43,"T","A+",74.9,1468,465,499,504
"Indonesia",78.49,"T","D+",23.7,1108,366,383,359
"Brazil",83.38,"T","C+",36.2,1192,379,403,410
"Mexico",87.73,"T","C",30.7,1220,395,410,415
"Japan",106.48,"T","A-",58.9,1599,536,547,516
"Philippines",81.64,"T","C-",26.6,1058,355,356,347
"Vietnam",89.53,"T","C-",25.1,1403,469,472,462
"Turkey",86.8,"T","C",33.4,1385,453,476,456
"Germany",100.74,"T","A",64.2,1447,475,492,480
"Thailand",88.87,"T","C-",29.2,1182,394,409,379
"United Kingdom",99.12,"T","A",64.2,1483,489,500,494
"France",96.69,"T","A-",56.7,1435,474,487,474
"Italy",94.23,"T","B",48,1430,471,477,482
"Colombia",83.13,"T","C-",27.9,1203,383,411,409
"South Korea",102.35,"T","A-",56.4,1570,527,528,515
"Spain",93.9,"T","B",49.8,1432,473,485,474
"Argentina",86.63,"T","B-",40.5,1185,378,406,401
"Poland",96.35,"T","B",45.6,1477,489,499,489
"Canada",99.52,"T","A",61.2,1519,497,515,507
"Morocco",67.03,"T","D+",22.6,1069,365,365,339
"Ukraine",90.07,"T","C+",38.3,1319,441,450,428
"Saudi Arabia",76.36,"T","C",30.2,1162,389,390,383
"Uzbekistan",89.01,"T",,,1055,364,355,336
"Peru",81.44,"T","C-",28,1207,391,408,408
"Malaysia",87.58,"T","C+",35.5,1213,409,416,388
"Australia",99.24,"T","A",64,1492,487,507,498
"Taiwan",106.47,"T","B",45.7,1599,547,537,515
"Kazakhstan",88.89,"T","C+",35.1,1234,425,423,386
"Chile",87.89,"T","C+",37.8,1304,412,444,448
"Romania",86.88,"T","C+",39.4,1284,428,428,428
"Guatemala",47.72,"T","D+",22.8,1091,344,373,374
"Netherlands",100.74,"T","A-",58.7,1440,493,488,459
"Cambodia",99.75,"T","D",16.1,1012,336,347,329
"Belgium",97.49,"T","A-",58.7,1459,489,491,479
"Dominican Republic",82.05,"T","D+",23.9,1050,339,360,351
"Jordan",80.7,"T","C-",26,1078,361,375,342
"Sweden",97,"T","A",61.6,1463,482,494,487
"Czech Republic",94.92,"T","B+",51.8,1474,487,498,489
"Azerbaijan",84.81,"E","C-",28.6,1142,397,380,365
"Greece",90.77,"T","B-",40.1,1309,430,441,438
"Portugal",92.77,"T","B-",44.8,1433,472,484,477
"Hungary",99.24,"T","B",50,1432,473,486,473
"United Arab Emirates",82.05,"T","C+",35.9,1280,431,432,417
"Israel",92.43,"T","B+",50.1,1397,458,465,474
"Austria",98.38,"T","A-",58.7,1458,487,491,480
"Switzerland",99.24,"T","A",61.6,1494,508,503,483
"Hong Kong",105.37,"T","B+",51.2,1560,540,520,500
"Serbia",89.6,"T","C+",35.2,1327,440,447,440
"Paraguay",84.04,"E","D+",24.5,1079,338,368,373
"Bulgaria",90.99,"T","B-",43.3,1242,417,421,404
"El Salvador",69.63,"E","D+",21.7,1081,343,373,365
"Singapore",105.89,"T","A",63.6,1679,575,561,543
"Denmark",97.83,"T","A",60.3,1472,489,494,489
"Slovakia",96.32,"T","B-",43.6,1373,464,462,447
"Finland",101.2,"T","A",60.5,1485,484,511,490
"Norway",97.13,"T","B+",55,1423,468,478,477
"Palestine",77.69,"T",,,1084,366,369,349
"New Zealand",98.57,"T","A-",57.3,1484,479,504,501
"Costa Rica",88.34,"T","C",32.4,1211,385,411,415
"Ireland",95.13,"T","B+",53.6,1512,492,504,516
"Panama",79,"E","C-",28.8,1137,357,388,392
"Croatia",95.75,"T","C+",38.5,1421,463,483,475
"Georgia",84.5,"E","C",31.5,1148,390,384,374
"Mongolia",91.03,"T","C-",27.4,1215,425,412,378
"Uruguay",87.59,"E","C+",37.9,1274,409,435,430
"Moldova",89.98,"E","C",31.5,1242,414,417,411
"Albania",81.75,"E","D+",23.4,1102,368,376,358
"Jamaica",75.08,"T","C-",26.7,1190,377,403,410
"Qatar",80.78,"T","C",31.3,1265,414,432,419
"Lithuania",95.89,"T","B",46.3,1431,475,484,472
"Slovenia",98.6,"T","B+",51.5,1454,485,500,469
"North Macedonia",81.91,"E","C-",28.3,1128,389,380,359
"Latvia",94.79,"T","B",45.8,1452,483,494,475
"Estonia",100.72,"T","B",49.5,1547,510,526,511
"Cyprus",93.39,"T","C+",38.5,1210,418,411,381
"Montenegro",85.78,"E","C",34.6,1214,406,403,405
"Malta",91.27,"T","B-",40.8,1377,466,466,445
"Brunei",87.58,"E",,,1317,442,446,429
"Iceland",98.26,"T","B+",52,1342,459,447,436
"Total",,,,,,438.6875,447.9875,436.1875